op_code(arp),mac_diferente_eth_arp,arp_packets_por_mac,arp_request_count,arp_reply_count,ratio_request_reply,Label
1,0,1332.0,722.0,610.0,1.1816693944353518,0
1,0,447.0,222.0,225.0,0.9823008849557522,0
1,0,1562.0,554.0,1008.0,0.5490584737363726,0
2,0,2400.0,1227.0,1172.0,1.0460358056265984,0
1,0,1995.0,1322.0,673.0,1.9614243323442135,0
2,0,6006.0,3150.0,2856.0,1.1025551277563879,0
2,0,3495.0,1832.0,1663.0,1.1009615384615385,0
2,0,1818.0,971.0,847.0,1.1450471698113207,0
2,0,173.0,96.0,77.0,1.2307692307692308,0
2,0,1682.0,934.0,748.0,1.2469959946595461,0
2,0,5110.0,2690.0,2420.0,1.1111111111111112,0
2,0,2830.0,1471.0,1359.0,1.0816176470588235,0
2,0,2241.0,1157.0,1083.0,1.0673431734317342,0
1,0,1713.0,1093.0,620.0,1.7600644122383253,0
1,0,134.0,71.0,63.0,1.109375,0
2,0,815.0,514.0,301.0,1.7019867549668874,0
1,0,1157.0,743.0,414.0,1.7903614457831325,0
2,0,5686.0,2975.0,2711.0,1.096976401179941,0
2,0,2807.0,1484.0,1323.0,1.1208459214501512,0
2,0,6911.0,3615.0,3296.0,1.0964513193812557,0
2,0,4417.0,2277.0,2140.0,1.06352171882298,0
2,0,1948.0,1084.0,864.0,1.2531791907514451,0
1,0,2012.0,1033.0,979.0,1.0540816326530613,0
1,0,2233.0,1227.0,1006.0,1.2184707050645482,0
1,0,1644.0,1064.0,580.0,1.8313253012048192,0
2,0,3510.0,1885.0,1625.0,1.1592865928659286,0
1,0,1562.0,1034.0,528.0,1.9546313799621928,0
1,0,537.0,396.0,141.0,2.788732394366197,0
2,0,4162.0,2349.0,1813.0,1.2949283351708931,0
1,0,834.0,528.0,306.0,1.719869706840391,0
1,0,1191.0,632.0,559.0,1.1285714285714286,0
2,0,2108.0,1379.0,729.0,1.889041095890411,0
2,0,405.0,170.0,235.0,0.7203389830508474,0
2,0,5850.0,2962.0,2888.0,1.0252682589131188,0
2,0,149.0,80.0,69.0,1.1428571428571428,0
1,0,4188.0,2167.0,2021.0,1.0717111770524232,0
1,0,1901.0,1021.0,880.0,1.1589103291713962,0
2,0,4457.0,2292.0,2165.0,1.0581717451523547,0
1,0,160.0,75.0,85.0,0.872093023255814,0
1,0,701.0,461.0,240.0,1.9128630705394192,0
1,0,3000.0,1600.0,1400.0,1.1420413990007139,0
1,0,3695.0,1980.0,1715.0,1.1538461538461537,0
2,0,2872.0,1704.0,1168.0,1.4576561163387511,0
1,0,4469.0,2516.0,1953.0,1.2876151484135108,0
2,0,3110.0,1634.0,1476.0,1.106296547054841,0
1,0,1052.0,567.0,485.0,1.1666666666666667,0
2,0,2044.0,1130.0,914.0,1.2349726775956285,0
1,0,2738.0,1447.0,1291.0,1.119969040247678,0
1,0,836.0,532.0,304.0,1.7442622950819673,0
2,0,378.0,176.0,202.0,0.8669950738916257,0
2,0,1709.0,955.0,754.0,1.2649006622516556,0
2,0,1998.0,1066.0,932.0,1.142550911039657,0
1,0,1185.0,475.0,710.0,0.6680731364275668,0
2,0,655.0,448.0,207.0,2.1538461538461537,0
2,0,3894.0,2022.0,1872.0,1.0795515216230647,0
2,0,1507.0,716.0,791.0,0.9040404040404041,0
2,0,1010.0,650.0,360.0,1.8005540166204985,0
1,0,2813.0,1463.0,1350.0,1.0829015544041452,0
1,0,5098.0,2795.0,2303.0,1.2131076388888888,0
1,0,2815.0,1505.0,1310.0,1.1479786422578184,0
2,0,5326.0,2722.0,2604.0,1.0449136276391555,0
1,0,3457.0,1782.0,1675.0,1.0632458233890214,0
1,0,5760.0,2924.0,2836.0,1.0306661966866408,0
1,0,578.0,223.0,355.0,0.6264044943820225,0
1,0,4919.0,2604.0,2315.0,1.1243523316062176,0
1,0,1156.0,456.0,700.0,0.6504992867332382,0
2,0,206.0,95.0,111.0,0.8482142857142857,0
2,0,1062.0,728.0,334.0,2.1731343283582087,0
1,0,2037.0,1132.0,904.0,1.250828729281768,0
2,0,2967.0,1580.0,1387.0,1.138328530259366,0
1,0,4023.0,2270.0,1753.0,1.2941847206385404,0
2,0,1939.0,1294.0,645.0,2.003095975232198,0
1,0,221.0,101.0,120.0,0.8347107438016529,0
2,0,6784.0,3550.0,3234.0,1.0973724884080371,0
2,0,879.0,491.0,388.0,1.262210796915167,0
1,0,2004.0,1109.0,895.0,1.2377232142857142,0
2,0,4919.0,2542.0,2377.0,1.0689655172413792,0
2,0,394.0,164.0,230.0,0.70995670995671,0
1,0,5956.0,3121.0,2835.0,1.10049365303244,0
2,0,4295.0,2270.0,2025.0,1.1204343534057255,0
1,0,4976.0,2570.0,2406.0,1.0677191524719567,0
2,0,2055.0,1135.0,920.0,1.232356134636265,0
2,0,1480.0,515.0,965.0,0.5331262939958592,0
1,0,2309.0,1219.0,1090.0,1.1173235563703026,0
2,0,2584.0,1400.0,1184.0,1.1814345991561181,0
2,0,1513.0,530.0,983.0,0.5386178861788617,0
1,0,3286.0,1761.0,1525.0,1.1539973787680209,0
1,0,970.0,594.0,376.0,1.5755968169761274,0
2,0,6344.0,3340.0,3004.0,1.1114808652246255,0
1,0,2297.0,1212.0,1085.0,1.1160220994475138,0
1,0,794.0,513.0,281.0,1.8191489361702127,0
2,0,2674.0,1414.0,1260.0,1.1213322759714512,0
1,0,5605.0,2849.0,2756.0,1.0333696046427276,0
2,0,2851.0,1520.0,1331.0,1.1411411411411412,0
2,0,709.0,472.0,237.0,1.9831932773109244,0
1,0,2954.0,1736.0,1218.0,1.424118129614438,0
1,0,6184.0,3259.0,2925.0,1.1138072453861927,0
2,0,3776.0,1962.0,1814.0,1.08099173553719,0
1,0,3340.0,1795.0,1545.0,1.1610608020698576,0
1,0,679.0,458.0,221.0,2.063063063063063,0
1,0,2197.0,1157.0,1040.0,1.111431316042267,0
2,0,350.0,136.0,214.0,0.6325581395348837,0
1,0,3523.0,2025.0,1498.0,1.3509006004002668,0
2,0,6838.0,3575.0,3263.0,1.095281862745098,0
2,0,2002.0,1114.0,888.0,1.2530933633295838,0
1,0,494.0,280.0,214.0,1.302325581395349,0
1,0,4569.0,2419.0,2150.0,1.1245932124593212,0
1,0,1242.0,462.0,780.0,0.5915492957746479,0
1,0,633.0,238.0,395.0,0.601010101010101,0
2,0,612.0,220.0,392.0,0.5597964376590331,0
2,0,1011.0,330.0,681.0,0.4838709677419355,0
2,0,1059.0,410.0,649.0,0.6307692307692307,0
2,0,1559.0,1031.0,528.0,1.9489603024574669,0
1,0,3704.0,1984.0,1720.0,1.1528181289947705,0
2,0,4819.0,2684.0,2135.0,1.256554307116105,0
2,0,1616.0,1022.0,593.0,1.7205387205387206,0
1,0,503.0,178.0,325.0,0.5460122699386503,0
2,0,3312.0,1780.0,1532.0,1.1611219830397912,0
1,0,61.0,46.0,15.0,2.875,0
2,0,543.0,190.0,353.0,0.536723163841808,0
1,0,3724.0,2116.0,1608.0,1.315102548166563,0
1,0,1967.0,1052.0,915.0,1.148471615720524,0
1,0,2175.0,1190.0,985.0,1.206896551724138,0
2,0,1584.0,856.0,728.0,1.1742112482853224,0
1,0,2804.0,1499.0,1305.0,1.1477794793261868,0
2,0,1608.0,866.0,742.0,1.1655450874831763,0
2,0,4955.0,2562.0,2393.0,1.0701754385964912,0
1,0,1605.0,1057.0,548.0,1.9253187613843352,0
1,0,317.0,119.0,198.0,0.5979899497487438,0
1,0,708.0,267.0,441.0,0.6040723981900452,0
2,0,4731.0,2505.0,2226.0,1.1248316120341266,0
2,0,678.0,263.0,415.0,0.6322115384615384,0
1,0,2436.0,1331.0,1105.0,1.2034358047016276,0
1,0,1680.0,667.0,1013.0,0.6577909270216963,0
2,0,4923.0,2714.0,2209.0,1.228054298642534,0
2,0,4980.0,2734.0,2246.0,1.216733422340899,0
1,0,210.0,120.0,90.0,1.3186813186813187,0
1,0,862.0,482.0,380.0,1.2650918635170603,0
2,0,4975.0,2625.0,2350.0,1.1165461505742238,0
1,0,1601.0,623.0,978.0,0.6363636363636364,0
1,0,972.0,682.0,290.0,2.343642611683849,0
1,0,3178.0,1633.0,1545.0,1.0562742561448901,0
1,0,1990.0,1109.0,881.0,1.2573696145124718,0
1,0,3266.0,1676.0,1590.0,1.0534255185417976,0
2,0,1842.0,944.0,898.0,1.050055617352614,0
1,0,290.0,145.0,145.0,0.9931506849315068,0
1,0,240.0,130.0,110.0,1.1711711711711712,0
1,0,761.0,321.0,440.0,0.7278911564625851,0
2,0,2674.0,1435.0,1239.0,1.157258064516129,0
2,0,740.0,484.0,256.0,1.8832684824902723,0
1,0,274.0,188.0,86.0,2.160919540229885,0
1,0,3600.0,1930.0,1670.0,1.1549970077797727,0
1,0,2228.0,1385.0,843.0,1.6409952606635072,0
2,0,134.0,86.0,48.0,1.7551020408163265,0
1,0,1587.0,1049.0,538.0,1.9461966604823748,0
1,0,445.0,286.0,159.0,1.7875,0
2,0,3704.0,1926.0,1778.0,1.0826306913996628,0
1,0,449.0,224.0,225.0,0.9911504424778761,0
2,0,6815.0,3565.0,3250.0,1.0965856659489388,0
1,0,589.0,329.0,260.0,1.260536398467433,0
2,0,4409.0,2277.0,2132.0,1.0675105485232068,0
2,0,4099.0,2170.0,1929.0,1.1243523316062176,0
2,0,2021.0,1120.0,901.0,1.2416851441241685,0
1,0,6051.0,3080.0,2971.0,1.0363391655450875,0
1,0,3785.0,2030.0,1755.0,1.1560364464692483,0
1,0,238.0,103.0,135.0,0.7573529411764706,0
1,0,3188.0,1682.0,1506.0,1.1161247511612475,0
1,0,1978.0,1093.0,885.0,1.2336343115124153,0
1,0,4670.0,2404.0,2266.0,1.0604322893692104,0
1,0,315.0,123.0,192.0,0.6373056994818653,0
2,0,3350.0,1721.0,1629.0,1.0558282208588956,0
1,0,131.0,71.0,60.0,1.1639344262295082,0
1,0,3404.0,1834.0,1570.0,1.1674092934436664,0
1,0,1008.0,703.0,305.0,2.2973856209150325,0
1,0,877.0,425.0,452.0,0.9381898454746137,0
1,0,3119.0,1643.0,1476.0,1.112389979688558,0
1,0,1001.0,326.0,675.0,0.4822485207100592,0
2,0,6827.0,3570.0,3257.0,1.0957642725598526,0
1,0,566.0,376.0,190.0,1.968586387434555,0
2,0,1741.0,969.0,772.0,1.2535575679172057,0
1,0,3079.0,1644.0,1435.0,1.1448467966573816,0
2,0,6163.0,3245.0,2918.0,1.1116820829051044,0
1,0,1484.0,516.0,968.0,0.5325077399380805,0
1,0,2048.0,1133.0,914.0,1.2382513661202186,0
2,0,565.0,409.0,156.0,2.605095541401274,0
2,0,567.0,376.0,191.0,1.9583333333333333,0
2,0,4389.0,2267.0,2122.0,1.0678285445124824,0
1,0,5905.0,2999.0,2906.0,1.0316477468180254,0
1,0,1910.0,971.0,939.0,1.0329787234042553,0
2,0,1003.0,614.0,389.0,1.5743589743589743,0
1,0,2037.0,1304.0,733.0,1.776566757493188,0
2,0,3348.0,1721.0,1627.0,1.057125307125307,0
1,0,2489.0,1359.0,1130.0,1.2015915119363396,0
2,0,517.0,205.0,312.0,0.6549520766773163,0
1,0,1901.0,1248.0,653.0,1.908256880733945,0
2,0,1099.0,418.0,681.0,0.6129032258064516,0
1,0,559.0,408.0,151.0,2.6842105263157894,0
2,0,5149.0,2647.0,2502.0,1.0575309628445866,0
1,0,1202.0,637.0,565.0,1.1254416961130742,0
2,0,145.0,68.0,77.0,0.8717948717948718,0
1,0,1054.0,638.0,416.0,1.5299760191846523,0
1,0,2420.0,1314.0,1106.0,1.1869918699186992,0
2,0,1077.0,734.0,343.0,2.133720930232558,0
2,0,332.0,176.0,156.0,1.1210191082802548,0
1,0,236.0,126.0,110.0,1.135135135135135,0
2,0,4455.0,2292.0,2163.0,1.0591497227356748,0
1,0,3701.0,1925.0,1776.0,1.0832864378165448,0
1,0,2458.0,1250.0,1207.0,1.0347682119205297,0
1,0,2327.0,1444.0,883.0,1.6334841628959276,0
2,0,1890.0,959.0,931.0,1.0289699570815452,0
1,0,1086.0,578.0,508.0,1.1355599214145382,0
2,0,686.0,381.0,305.0,1.2450980392156863,0
1,0,6194.0,3264.0,2930.0,1.1136131013306039,0
2,0,1456.0,691.0,765.0,0.902088772845953,0
2,0,3565.0,1910.0,1655.0,1.1533816425120773,0
2,0,2476.0,1306.0,1170.0,1.1152860802732707,0
1,0,2874.0,1518.0,1356.0,1.11864406779661,0
1,0,850.0,311.0,539.0,0.575925925925926,0
2,0,4307.0,2232.0,2075.0,1.0751445086705202,0
2,0,2220.0,1444.0,776.0,1.8584298584298584,0
1,0,1009.0,704.0,305.0,2.3006535947712417,0
1,0,2761.0,1476.0,1285.0,1.1477449455676516,0
2,0,4971.0,2625.0,2346.0,1.1184490839369408,0
2,0,338.0,231.0,107.0,2.138888888888889,0
1,0,2403.0,1230.0,1172.0,1.0485933503836318,0
1,0,2254.0,1396.0,858.0,1.6251455180442376,0
1,0,3355.0,1805.0,1550.0,1.1637653127014829,0
1,0,2572.0,1352.0,1220.0,1.1072891072891073,0
2,0,3379.0,1736.0,1643.0,1.0559610705596107,0
2,0,412.0,272.0,140.0,1.929078014184397,0
1,0,704.0,276.0,428.0,0.6433566433566433,0
1,0,1894.0,1014.0,880.0,1.1509648127128262,0
2,0,202.0,111.0,91.0,1.2065217391304348,0
2,0,1900.0,1050.0,850.0,1.2338425381903644,0
1,0,4550.0,2552.0,1998.0,1.2766383191595798,0
2,0,79.0,48.0,31.0,1.5,0
2,0,3231.0,1656.0,1575.0,1.0507614213197969,0
2,0,2579.0,1356.0,1223.0,1.107843137254902,0
2,0,467.0,231.0,236.0,0.9746835443037974,0
2,0,36.0,15.0,21.0,0.6818181818181818,0
1,0,194.0,89.0,105.0,0.839622641509434,0
1,0,1447.0,534.0,913.0,0.5842450765864332,0
2,0,66.0,41.0,25.0,1.5769230769230769,0
1,0,4311.0,2235.0,2076.0,1.0760712566201251,0
1,0,3933.0,2220.0,1713.0,1.2952158693115519,0
2,0,5645.0,2955.0,2690.0,1.0981047937569677,0
2,0,1082.0,738.0,344.0,2.139130434782609,0
2,0,218.0,111.0,107.0,1.0277777777777777,0
2,0,774.0,290.0,484.0,0.5979381443298969,0
2,0,432.0,231.0,201.0,1.1435643564356435,0
1,0,64.0,49.0,15.0,3.0625,0
1,0,4291.0,2225.0,2066.0,1.0764392839864538,0
2,0,3632.0,2074.0,1558.0,1.330339961513791,0
1,0,549.0,304.0,245.0,1.2357723577235773,0
1,0,4484.0,2303.0,2181.0,1.0554537121906509,0
2,0,90.0,40.0,50.0,0.7843137254901961,0
2,0,599.0,424.0,175.0,2.409090909090909,0
2,0,628.0,351.0,277.0,1.2625899280575539,0
2,0,3236.0,1730.0,1506.0,1.147976111479761,0
1,0,293.0,139.0,154.0,0.896774193548387,0
1,0,38.0,23.0,15.0,1.4375,0
2,0,1125.0,758.0,367.0,2.0597826086956523,0
1,0,1415.0,671.0,744.0,0.9006711409395973,0
1,0,693.0,464.0,229.0,2.017391304347826,0
1,0,1018.0,622.0,396.0,1.566750629722922,0
2,0,5704.0,2897.0,2807.0,1.0316951566951567,0
2,0,4787.0,2535.0,2252.0,1.1251664447403462,0
1,0,1188.0,785.0,403.0,1.943069306930693,0
2,0,3604.0,1881.0,1723.0,1.0910672853828307,0
1,0,4570.0,2420.0,2150.0,1.1250581125058112,0
2,0,1381.0,746.0,635.0,1.1729559748427674,0
2,0,1565.0,875.0,690.0,1.2662807525325614,0
1,0,2668.0,1605.0,1063.0,1.5084586466165413,0
1,0,1719.0,919.0,800.0,1.1473158551810236,0
1,0,409.0,224.0,185.0,1.2043010752688172,0
2,0,1567.0,1036.0,531.0,1.9473684210526316,0
1,0,5860.0,3070.0,2790.0,1.0999641705481906,0
1,0,4646.0,2390.0,2256.0,1.0589277802392556,0
1,0,5874.0,3079.0,2795.0,1.1012160228898427,0
1,0,4097.0,2319.0,1778.0,1.3035413153456998,0
1,0,823.0,294.0,529.0,0.5547169811320755,0
1,0,2984.0,1589.0,1395.0,1.1382521489971347,0
1,0,2006.0,1071.0,935.0,1.1442307692307692,0
2,0,3081.0,1804.0,1277.0,1.4115805946791862,0
1,0,3403.0,1792.0,1611.0,1.1116625310173698,0
2,0,1755.0,975.0,780.0,1.2483994878361075,0
1,0,1887.0,1244.0,643.0,1.9316770186335404,0
2,0,746.0,489.0,257.0,1.8953488372093024,0
1,0,2758.0,1457.0,1301.0,1.119047619047619,0
2,0,3774.0,1962.0,1812.0,1.0821842250413678,0
1,0,1672.0,931.0,741.0,1.2547169811320755,0
2,0,1495.0,967.0,527.0,1.831439393939394,0
2,0,2069.0,1054.0,1015.0,1.0374015748031495,0
1,0,1076.0,361.0,715.0,0.5041899441340782,0
2,0,3685.0,1917.0,1768.0,1.083663086489542,0
2,0,1289.0,823.0,466.0,1.7623126338329764,0
1,0,735.0,310.0,425.0,0.7276995305164319,0
1,0,744.0,378.0,366.0,1.0299727520435968,0
1,0,1990.0,1282.0,708.0,1.8081805359661496,0
1,0,1561.0,737.0,824.0,0.8933333333333333,0
1,0,4103.0,2320.0,1783.0,1.3004484304932735,0
2,0,752.0,382.0,370.0,1.0296495956873315,0
1,0,1198.0,483.0,715.0,0.6745810055865922,0
2,0,2943.0,1734.0,1209.0,1.4330578512396694,0
2,0,4290.0,2270.0,2020.0,1.1232063334982683,0
1,0,4136.0,2135.0,2001.0,1.0664335664335665,0
1,0,3417.0,1796.0,1621.0,1.1072749691738595,0
1,0,663.0,430.0,233.0,1.8376068376068375,0
2,0,1930.0,1289.0,641.0,2.0077881619937696,0
1,0,3973.0,2062.0,1911.0,1.0784518828451883,0
2,0,376.0,135.0,241.0,0.5578512396694215,0
1,0,2776.0,1653.0,1123.0,1.4706405693950177,0
2,0,240.0,135.0,105.0,1.2735849056603774,0
1,0,4961.0,2728.0,2233.0,1.2211280214861235,0
1,0,4369.0,2258.0,2111.0,1.0691287878787878,0
2,0,542.0,399.0,143.0,2.7708333333333335,0
2,0,606.0,227.0,379.0,0.5973684210526315,0
2,0,1103.0,375.0,728.0,0.51440329218107,0
1,0,271.0,151.0,120.0,1.2479338842975207,0
2,0,3282.0,1760.0,1522.0,1.1556139198949442,0
1,0,1120.0,755.0,365.0,2.0628415300546448,0
1,0,6907.0,3612.0,3295.0,1.095873786407767,0
1,0,4883.0,2700.0,2183.0,1.2362637362637363,0
1,0,2687.0,1397.0,1290.0,1.0821068938807126,0
1,0,3437.0,1806.0,1631.0,1.1066176470588236,0
1,0,963.0,678.0,285.0,2.370629370629371,0
2,0,1444.0,942.0,501.0,1.8764940239043826,0
1,0,1212.0,794.0,418.0,1.8949880668257757,0
2,0,6390.0,3360.0,3030.0,1.1085450346420322,0
2,0,4174.0,2157.0,2017.0,1.0688800792864221,0
1,0,588.0,220.0,368.0,0.5962059620596206,0
1,0,4637.0,2386.0,2251.0,1.0595026642984013,0
2,0,1536.0,1017.0,519.0,1.9557692307692307,0
2,0,315.0,105.0,210.0,0.4976303317535545,0
1,0,5634.0,2863.0,2771.0,1.0328282828282829,0
1,0,310.0,165.0,145.0,1.13013698630137,0
1,0,4882.0,2587.0,2295.0,1.1267421602787457,0
1,0,1237.0,662.0,575.0,1.1493055555555556,0
1,0,1370.0,646.0,724.0,0.8910344827586207,0
2,0,2066.0,1314.0,752.0,1.745019920318725,0
1,0,1496.0,836.0,660.0,1.264750378214826,0
1,0,3280.0,1760.0,1520.0,1.1571334648257725,0
1,0,99.0,66.0,33.0,1.9411764705882353,0
1,0,2312.0,1434.0,878.0,1.6313993174061434,0
2,0,205.0,110.0,95.0,1.1458333333333333,0
1,0,1794.0,1206.0,588.0,2.0475382003395586,0
2,0,2062.0,1354.0,708.0,1.9097320169252467,0
1,0,98.0,48.0,50.0,0.9411764705882353,0
2,0,329.0,155.0,174.0,0.8857142857142857,0
1,0,4576.0,2421.0,2155.0,1.12291280148423,0
2,0,44.0,23.0,21.0,1.0454545454545454,0
1,0,40.0,20.0,20.0,0.9523809523809523,0
2,0,1995.0,1024.0,971.0,1.0534979423868314,0
2,0,4779.0,2664.0,2115.0,1.2589792060491494,0
1,0,728.0,328.0,400.0,0.8179551122194514,0
2,0,49.0,38.0,11.0,3.1666666666666665,0
1,0,627.0,247.0,380.0,0.6482939632545932,0
1,0,5787.0,3027.0,2760.0,1.0963419051068453,0
1,0,6458.0,3398.0,3060.0,1.110094740280954,0
1,0,1544.0,730.0,814.0,0.8957055214723927,0
1,0,1093.0,582.0,511.0,1.13671875,0
2,0,685.0,381.0,304.0,1.2491803278688525,0
1,0,3929.0,2089.0,1840.0,1.1347093970668116,0
2,0,1434.0,771.0,663.0,1.161144578313253,0
2,0,1053.0,410.0,643.0,0.6366459627329193,0
2,0,2258.0,1191.0,1067.0,1.1151685393258426,0
1,0,1718.0,918.0,800.0,1.146067415730337,0
1,0,1508.0,808.0,700.0,1.152639087018545,0
1,0,356.0,149.0,207.0,0.7163461538461539,0
1,0,1084.0,424.0,660.0,0.6414523449319214,0
1,0,1220.0,450.0,770.0,0.5836575875486382,0
1,0,834.0,286.0,548.0,0.5209471766848816,0
1,0,4472.0,2519.0,1953.0,1.2891504605936541,0
2,0,1557.0,1089.0,468.0,2.321961620469083,0
2,0,1918.0,1254.0,664.0,1.8857142857142857,0
2,0,83.0,64.0,19.0,3.2,0
1,0,5530.0,2809.0,2721.0,1.0319617927994122,0
2,0,406.0,221.0,185.0,1.1881720430107527,0
2,0,204.0,115.0,89.0,1.2777777777777777,0
2,0,441.0,188.0,253.0,0.7401574803149606,0
2,0,2472.0,1334.0,1138.0,1.1712028094820017,0
1,0,387.0,181.0,206.0,0.8743961352657005,0
1,0,1143.0,734.0,409.0,1.7902439024390244,0
1,0,778.0,495.0,283.0,1.7429577464788732,0
1,0,2034.0,1129.0,904.0,1.247513812154696,0
2,0,6064.0,3087.0,2977.0,1.0366017461383479,0
2,0,1559.0,1027.0,532.0,1.9268292682926829,0
2,0,1638.0,920.0,718.0,1.2795549374130737,0
2,0,4611.0,2372.0,2239.0,1.0589285714285714,0
2,0,1374.0,775.0,599.0,1.2916666666666667,0
2,0,4443.0,2360.0,2083.0,1.1324376199616122,0
1,0,273.0,143.0,130.0,1.0916030534351144,0
2,0,1108.0,430.0,678.0,0.6332842415316642,0
2,0,599.0,391.0,208.0,1.8708133971291867,0
2,0,2654.0,1404.0,1250.0,1.1223021582733812,0
2,0,4548.0,2410.0,2138.0,1.1266947171575503,0
1,0,2057.0,1087.0,970.0,1.1194644696189495,0
1,0,3875.0,2014.0,1861.0,1.0816326530612246,0
1,0,770.0,290.0,480.0,0.6029106029106029,0
1,0,2601.0,1406.0,1195.0,1.1755852842809364,0
1,0,595.0,224.0,371.0,0.6021505376344086,0
1,0,4447.0,2509.0,1938.0,1.293965961835998,0
1,0,4819.0,2554.0,2265.0,1.1270962047661077,0
1,0,1549.0,546.0,1003.0,0.5438247011952191,0
2,0,285.0,143.0,142.0,1.0,0
1,0,877.0,323.0,554.0,0.581981981981982,0
2,0,4686.0,2619.0,2067.0,1.266441005802708,0
2,0,6139.0,3230.0,2909.0,1.1099656357388317,0
1,0,1500.0,1005.0,495.0,2.026209677419355,0
1,0,2232.0,1389.0,843.0,1.6457345971563981,0
1,0,2087.0,1152.0,934.0,1.2320855614973263,0
1,0,4624.0,2591.0,2033.0,1.2738446411012783,0
2,0,680.0,457.0,223.0,2.0401785714285716,0
2,0,735.0,489.0,246.0,1.9797570850202428,0
